MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,SNR_dB,GroupLabel
full,Proposed detector,0.842568,0.48,0.456,0.01,0.00165,0.0267643069471523,0.0327234828823554,20000,103,-8,SNR=-8 dB
full,Proposed detector,0.820104,0.464,0.438,0.01135,0.00105,0.0259271581087765,0.0355864622416768,20000,104,-8,SNR=-8 dB
full,Proposed detector,0.812312,0.444,0.426,0.012,0.00135,0.0281307401985276,0.0355603466364917,20000,105,-8,SNR=-8 dB
global_only,Global-pooling variant,0.825212,0.484,0.446,0.0095,0.00115,0.00485543242262012,0.00636864273331947,20000,101,-8,SNR=-8 dB
global_only,Global-pooling variant,0.811936,0.464,0.414,0.0094,0.0012,0.00360935892683692,0.00503104411837211,20000,102,-8,SNR=-8 dB
global_only,Global-pooling variant,0.7851,0.442,0.4,0.01,0.00145,0.00339653086882667,0.0047547609221642,20000,103,-8,SNR=-8 dB
global_only,Global-pooling variant,0.787028,0.44,0.396,0.0098,0.00055,0.00388085124398323,0.00564212868327712,20000,104,-8,SNR=-8 dB
global_only,Global-pooling variant,0.777244,0.41,0.346,0.0113,0.0011,0.00467424217090166,0.00635414174325806,20000,105,-8,SNR=-8 dB
uniform_weight,Uniform-weight variant,0.822612,0.484,0.464,0.01045,0.00115,0.0189100721708063,0.0225745663569688,20000,101,-8,SNR=-8 dB
uniform_weight,Uniform-weight variant,0.83048,0.464,0.438,0.01085,0.00075,0.0130666306775655,0.0160696488681138,20000,102,-8,SNR=-8 dB
uniform_weight,Uniform-weight variant,0.824228,0.456,0.426,0.00995,0.0016,0.0135042926363994,0.0160776856181903,20000,103,-8,SNR=-8 dB
uniform_weight,Uniform-weight variant,0.80692,0.458,0.434,0.0104,0.0013,0.0132526421332404,0.0160127992497527,20000,104,-8,SNR=-8 dB
uniform_weight,Uniform-weight variant,0.791732,0.43,0.386,0.0117,0.00125,0.0180875815528615,0.0218479376760832,20000,105,-8,SNR=-8 dB
full,Proposed detector,0.82598,0.458,0.434,0.01005,0.00065,0.030597394386647,0.0372197885192054,20000,101,-6,SNR=-6 dB
full,Proposed detector,0.826244,0.478,0.448,0.0109,0.001,0.0258773541283475,0.0324659017970274,20000,102,-6,SNR=-6 dB
full,Proposed detector,0.826372,0.47,0.452,0.00985,0.001,0.0233844104800826,0.0288434496220488,20000,103,-6,SNR=-6 dB
full,Proposed detector,0.821632,0.444,0.432,0.01045,0.0012,0.025247859269574,0.0298975106684562,20000,104,-6,SNR=-6 dB
full,Proposed detector,0.808336,0.458,0.448,0.0109,0.00105,0.0277183836890881,0.0353066845315094,20000,105,-6,SNR=-6 dB
global_only,Global-pooling variant,0.798688,0.444,0.41,0.00945,0.00095,0.00446980269068358,0.00585812095571148,20000,101,-6,SNR=-6 dB
global_only,Global-pooling variant,0.805808,0.462,0.424,0.00905,0.0011,0.00388667782104032,0.00500108108092972,20000,102,-6,SNR=-6 dB
global_only,Global-pooling variant,0.771564,0.446,0.42,0.00995,0.00105,0.00381994543453126,0.00508444655626598,20000,103,-6,SNR=-6 dB
global_only,Global-pooling variant,0.77644,0.44,0.422,0.01055,0.0014,0.00342303006711,0.0047164439885608,20000,104,-6,SNR=-6 dB
global_only,Global-pooling variant,0.754644,0.444,0.434,0.0107,0.00125,0.00387499276770101,0.00534957311439754,20000,105,-6,SNR=-6 dB
uniform_weight,Uniform-weight variant,0.809272,0.428,0.408,0.01,0.00065,0.0181513523079049,0.0215565834013673,20000,101,-6,SNR=-6 dB
uniform_weight,Uniform-weight variant,0.812616,0.462,0.44,0.01125,0.0008,0.0152969214470511,0.0189300705299529,20000,102,-6,SNR=-6 dB
uniform_weight,Uniform-weight variant,0.80604,0.446,0.43,0.0099,0.00135,0.0135908889913369,0.0163462800246987,20000,103,-6,SNR=-6 dB
uniform_weight,Uniform-weight variant,0.807476,0.436,0.424,0.01,0.00095,0.0141326234859008,0.0166343171217018,20000,104,-6,SNR=-6 dB
uniform_weight,Uniform-weight variant,0.80042,0.448,0.44,0.0111,0.0011,0.0141997845958751,0.0173629917770361,20000,105,-6,SNR=-6 dB
full,Proposed detector,0.842616,0.508,0.468,0.0095,0.00105,0.0242661097436987,0.029963617506894,20000,101,-4,SNR=-4 dB
full,Proposed detector,0.831648,0.514,0.468,0.01125,0.00125,0.0206662544111514,0.0280704806411112,20000,102,-4,SNR=-4 dB
full,Proposed detector,0.80274,0.412,0.376,0.01005,0.0009,0.0367035311006595,0.0453961028952948,20000,103,-4,SNR=-4 dB
full,Proposed detector,0.829168,0.498,0.484,0.0092,0.00105,0.0291894905791513,0.0344618955252227,20000,104,-4,SNR=-4 dB
full,Proposed detector,0.819832,0.466,0.448,0.009,0.0009,0.0341576024885387,0.0411278597354169,20000,105,-4,SNR=-4 dB
global_only,Global-pooling variant,0.799728,0.462,0.43,0.01025,0.0009,0.00383204010326489,0.00515515355075247,20000,101,-4,SNR=-4 dB
global_only,Global-pooling variant,0.779624,0.468,0.458,0.0101,0.00105,0.00275122301539547,0.00396705502506807,20000,102,-4,SNR=-4 dB
global_only,Global-pooling variant,0.794176,0.39,0.32,0.01095,0.00075,0.00501596894058032,0.00698029957724699,20000,103,-4,SNR=-4 dB
global_only,Global-pooling variant,0.7978,0.468,0.438,0.0092,0.0008,0.00490964447843252,0.00621149563941013,20000,104,-4,SNR=-4 dB
global_only,Global-pooling variant,0.798944,0.446,0.416,0.00785,0.0005,0.00508954591574155,0.00636270093332869,20000,105,-4,SNR=-4 dB
uniform_weight,Uniform-weight variant,0.830836,0.476,0.446,0.01055,0.0006,0.013644696235453,0.016356670096109,20000,101,-4,SNR=-4 dB
uniform_weight,Uniform-weight variant,0.827072,0.478,0.464,0.01135,0.00145,0.011230341395106,0.013644312802691,20000,102,-4,SNR=-4 dB
uniform_weight,Uniform-weight variant,0.794072,0.408,0.364,0.0094,0.00085,0.020118185010844,0.0247918099761501,20000,103,-4,SNR=-4 dB
uniform_weight,Uniform-weight variant,0.822624,0.474,0.444,0.01025,0.001,0.0174607869503474,0.0205999766920178,20000,104,-4,SNR=-4 dB
uniform_weight,Uniform-weight variant,0.806524,0.436,0.422,0.00895,0.0007,0.0202383044737478,0.0239025320868721,20000,105,-4,SNR=-4 dB
full,Proposed detector,0.84002,0.508,0.486,0.00935,0.00075,0.034001737306258,0.0412175013121608,20000,101,-2,SNR=-2 dB
full,Proposed detector,0.837664,0.488,0.47,0.0097,0.0012,0.022117096739683,0.0265190323582446,20000,102,-2,SNR=-2 dB
full,Proposed detector,0.84054,0.424,0.382,0.0081,0.00075,0.0250336403570055,0.0308667173708473,20000,103,-2,SNR=-2 dB
full,Proposed detector,0.8633,0.56,0.484,0.0115,0.00055,0.0216137556489849,0.0293665480785625,20000,104,-2,SNR=-2 dB
full,Proposed detector,0.85628,0.504,0.48,0.0085,0.00085,0.034397293708712,0.040420026587326,20000,105,-2,SNR=-2 dB
global_only,Global-pooling variant,0.81754,0.49,0.458,0.0088,0.00055,0.00560025635972505,0.00727225702546817,20000,101,-2,SNR=-2 dB
global_only,Global-pooling variant,0.803764,0.47,0.444,0.01025,0.0009,0.0035389280673988,0.00471373675750108,20000,102,-2,SNR=-2 dB
global_only,Global-pooling variant,0.811856,0.426,0.368,0.00935,0.0008,0.00387866337017388,0.00508789916114678,20000,103,-2,SNR=-2 dB
global_only,Global-pooling variant,0.825532,0.482,0.45,0.01275,0.0017,0.00356404553940188,0.00474907303771814,20000,104,-2,SNR=-2 dB
global_only,Global-pooling variant,0.838584,0.48,0.43,0.01,0.0011,0.00521462520197787,0.00648848835198282,20000,105,-2,SNR=-2 dB
uniform_weight,Uniform-weight variant,0.827608,0.478,0.458,0.00955,0.0007,0.0220423714311726,0.026545137103241,20000,101,-2,SNR=-2 dB
uniform_weight,Uniform-weight variant,0.82334,0.474,0.444,0.00965,0.0006,0.0142514751176581,0.0170425312314107,20000,102,-2,SNR=-2 dB
uniform_weight,Uniform-weight variant,0.813464,0.412,0.386,0.00775,0.0007,0.015658179549109,0.0188765579162929,20000,103,-2,SNR=-2 dB
uniform_weight,Uniform-weight variant,0.84328,0.486,0.468,0.01085,0.00155,0.013538775741497,0.0159018240082242,20000,104,-2,SNR=-2 dB
uniform_weight,Uniform-weight variant,0.835472,0.466,0.44,0.0092,0.0009,0.0219085473606033,0.0257502324058154,20000,105,-2,SNR=-2 dB
full,Proposed detector,0.854428,0.468,0.436,0.0112,0.001,0.0239894138845272,0.0290899371069163,20000,101,0,SNR=+0 dB
full,Proposed detector,0.837292,0.508,0.49,0.0096,0.00075,0.0212766394183572,0.0259609588193262,20000,102,0,SNR=+0 dB
full,Proposed detector,0.853196,0.634,0.532,0.0101,0.00135,0.0176429770529292,0.0219912510708541,20000,103,0,SNR=+0 dB
full,Proposed detector,0.847576,0.488,0.46,0.0114,0.00085,0.0214733201060747,0.0269253168787638,20000,104,0,SNR=+0 dB
full,Proposed detector,0.83356,0.518,0.488,0.00915,0.0012,0.02473777492736,0.0301255971983484,20000,105,0,SNR=+0 dB
global_only,Global-pooling variant,0.818904,0.418,0.388,0.011,0.0017,0.00406938152500603,0.00543267967756139,20000,101,0,SNR=+0 dB
global_only,Global-pooling variant,0.808348,0.494,0.47,0.009,0.00125,0.00314402793963701,0.00418559133052839,20000,102,0,SNR=+0 dB
global_only,Global-pooling variant,0.816548,0.526,0.502,0.0094,0.00105,0.00316750803593969,0.00424808226327412,20000,103,0,SNR=+0 dB
global_only,Global-pooling variant,0.804064,0.45,0.432,0.0112,0.00095,0.00307735588850361,0.0044106470167996,20000,104,0,SNR=+0 dB
global_only,Global-pooling variant,0.793516,0.494,0.472,0.0086,0.00045,0.00395590445547144,0.00536524077662264,20000,105,0,SNR=+0 dB
uniform_weight,Uniform-weight variant,0.84096,0.426,0.41,0.0111,0.0012,0.015628669269162,0.018728938657018,20000,101,0,SNR=+0 dB
uniform_weight,Uniform-weight variant,0.82008,0.494,0.464,0.0091,0.00085,0.0139777169526894,0.0169229514332786,20000,102,0,SNR=+0 dB
uniform_weight,Uniform-weight variant,0.833904,0.522,0.506,0.01005,0.0011,0.0121662219341518,0.0145946986702812,20000,103,0,SNR=+0 dB
uniform_weight,Uniform-weight variant,0.826908,0.46,0.438,0.0117,0.0011,0.0136170237631274,0.0163749799305304,20000,104,0,SNR=+0 dB
uniform_weight,Uniform-weight variant,0.815576,0.484,0.474,0.01,0.00125,0.0161978270579053,0.0192627620686635,20000,105,0,SNR=+0 dB
