MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,ParamName,ParamValue,GroupLabel
full,Proposed detector,0.772368,0.434,0.398,0.0094,0.00115,0.0143602151196985,0.0220625536477701,20000,102,aggAlpha,0.2,aggAlpha=0.2
uniform_weight,Uniform-weight variant,0.787268,0.42,0.398,0.00995,0.0014,0.00720884451510246,0.00989890528543072,20000,102,aggAlpha,0.2,aggAlpha=0.2
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,aggAlpha,0.2,aggAlpha=0.2
full,Proposed detector,0.7881,0.434,0.402,0.00925,0.00115,0.022117794844056,0.0335817009858127,20000,102,aggAlpha,0.4,aggAlpha=0.4
uniform_weight,Uniform-weight variant,0.793168,0.418,0.396,0.0096,0.0011,0.0108885440734643,0.0145215028138749,20000,102,aggAlpha,0.4,aggAlpha=0.4
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,aggAlpha,0.4,aggAlpha=0.4
full,Proposed detector,0.799812,0.43,0.404,0.00895,0.001,0.0304635151273298,0.045203942660126,20000,102,aggAlpha,0.6,aggAlpha=0.6
uniform_weight,Uniform-weight variant,0.795744,0.418,0.394,0.0093,0.00085,0.0148172778873801,0.0196918919101421,20000,102,aggAlpha,0.6,aggAlpha=0.6
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,aggAlpha,0.6,aggAlpha=0.6
full,Proposed detector,0.8081,0.428,0.402,0.0095,0.001,0.0390700109603803,0.0580659568527754,20000,102,aggAlpha,0.8,aggAlpha=0.8
uniform_weight,Uniform-weight variant,0.796124,0.42,0.396,0.00915,0.0011,0.0189188475426137,0.0246092364130138,20000,102,aggAlpha,0.8,aggAlpha=0.8
